Plot,date,n,doc_mg_l_sd,doc_mg_l_se,doc_mg_l,tdn_mg_l_sd,tdn_mg_l_se,tdn_mg_l
C,2023-06-03,3,2.2,1.27,22.2,0.11,0.06,0.43
C,2023-06-12,1,NA,NA,16.2,NA,NA,0.75
C,2023-06-28,8,4.23,1.5,14.85,0.59,0.21,0.65
C,2023-08-07,2,0.64,0.45,17.12,0.06,0.04,0.64
C,2023-08-10,7,4.37,1.65,16.78,0.11,0.04,0.58
C,2023-10-05,1,NA,NA,13.19,NA,NA,0.43
C,2023-12-08,1,NA,NA,17.68,NA,NA,0.51
C,2023-12-11,2,6.27,4.43,16.41,0.26,0.18,0.58
FW,2023-06-03,2,0.71,0.5,10.55,0.03,0.02,0.38
FW,2023-06-05,1,NA,NA,5.19,NA,NA,0.2
FW,2023-06-06,6,1.33,0.54,5.29,0.04,0.02,0.25
FW,2023-06-07,11,1.61,0.49,5.93,0.12,0.04,0.29
FW,2023-06-08,5,1.36,0.61,6.31,0.1,0.04,0.34
FW,2023-06-12,2,1.01,0.71,7.48,0.06,0.05,0.34
FW,2023-06-14,3,1.98,1.14,8.57,0.06,0.03,0.36
FW,2023-06-17,2,0.29,0.21,11.04,0.04,0.03,0.49
FW,2023-06-27,7,2.66,1,10.87,0.06,0.02,0.39
FW,2023-08-07,6,3.08,1.26,11.12,0.08,0.03,0.5
FW,2023-08-10,2,4.13,2.92,12.12,0.84,0.6,1.02
FW,2023-10-02,1,NA,NA,9.29,NA,NA,0.48
FW,2023-10-05,1,NA,NA,25.54,NA,NA,2.69
FW,2023-12-08,4,3.73,1.87,12.86,0.12,0.06,0.42
FW,2023-12-11,1,NA,NA,15.21,NA,NA,0.44
SW,2023-06-06,3,2.52,1.45,5.4,0.07,0.04,0.32
SW,2023-06-07,7,2.75,1.04,5.54,0.16,0.06,0.37
SW,2023-06-08,4,1,0.5,4.82,0.04,0.02,0.38
SW,2023-06-12,2,0.76,0.54,4.66,0.06,0.04,0.38
SW,2023-06-14,5,1.57,0.7,5.93,0.14,0.06,0.4
SW,2023-06-17,3,2.49,1.44,6.29,0.33,0.19,0.53
SW,2023-06-27,8,1.66,0.59,4.82,0.08,0.03,0.31
SW,2023-08-07,7,17.17,6.49,20.52,0.57,0.21,0.91
SW,2023-08-10,6,7.89,3.22,42,0.23,0.09,1.37
SW,2023-10-02,4,17.57,8.79,29.89,0.54,0.27,1.1
SW,2023-11-16,1,NA,NA,20.01,NA,NA,0.93
SW,2023-12-08,2,8.88,6.28,32.33,0.31,0.22,1.01
SW,2023-12-11,4,10.83,5.42,28.5,0.7,0.35,1.21
