Plot,date,n,doc_mg_l_sd,doc_mg_l_se,doc_mg_l,tdn_mg_l_sd,tdn_mg_l_se,tdn_mg_l
ESTUARY,2022-06-22T00:00:00Z,3,14.47,8.35,10.84,0.44,0.25,0.44
ESTUARY,2023-06-06T00:00:00Z,3,0.29,0.17,4.9,0.04,0.02,0.39
ESTUARY,2023-06-07T00:00:00Z,3,0.28,0.16,4.46,0.03,0.02,0.34
FW,2022-06-22T00:00:00Z,8,3.75,1.33,2.9,0.06,0.02,0.12
FW,2023-06-06T00:00:00Z,3,0.08,0.04,0.39,0.03,0.02,0.11
FW,2023-06-07T00:00:00Z,3,0.06,0.03,0.35,0.02,0.01,0.08
SW,2022-06-22T00:00:00Z,9,7.55,2.52,10.27,0.05,0.02,0.4
SW,2023-06-06T00:00:00Z,3,1.48,0.86,4.08,0.06,0.04,0.33
SW,2023-06-07T00:00:00Z,3,0.61,0.35,5.36,0.04,0.02,0.41
