sample_name,rundate,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,Event,Plot,Grid,Timepoint,date,time
TMP_FW_SOURCE_20230607_0611,20230609,0.41,0.09,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value,TMP,FW,SOURCE,NA,2023-06-07T00:00:00Z,06:11:00
TMP_FW_SOURCE_20230607_1300,20230609,0.36,0.09,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value,TMP,FW,SOURCE,NA,2023-06-07T00:00:00Z,13:00:00
TMP_FW_SOURCE_20230607_1519,20230609,0.29,0.06,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value,TMP,FW,SOURCE,NA,2023-06-07T00:00:00Z,15:19:00
TMP_SW_SOURCE_20230607_0621,20230609,5.2,0.44,NA,NA,TMP,SW,SOURCE,NA,2023-06-07T00:00:00Z,06:21:00
TMP_SW_ESTUARY_20230606_0632,20230609,4.57,0.37,NA,NA,TMP,ESTUARY,ESTUARY,NA,2023-06-06T00:00:00Z,06:32:00
TMP_SW_SOURCE_20230606_0709,20230609,2.37,0.26,NA,blank is ≥ 25% of sample value,TMP,SW,SOURCE,NA,2023-06-06T00:00:00Z,07:09:00
TMP_SW_SOURCE_20230606_1301,20230609,4.84,0.36,NA,NA,TMP,SW,SOURCE,NA,2023-06-06T00:00:00Z,13:01:00
TMP_SW_SOURCE_20230606_1502,20230609,5.03,0.37,NA,NA,TMP,SW,SOURCE,NA,2023-06-06T00:00:00Z,15:02:00
TMP_SW_ESTUARY_20230606_1236,20230609,5.06,0.44,NA,NA,TMP,ESTUARY,ESTUARY,NA,2023-06-06T00:00:00Z,12:36:00
TMP_SW_SOURCE_20230607_1255,20230609,6.03,0.37,NA,NA,TMP,SW,SOURCE,NA,2023-06-07T00:00:00Z,12:55:00
TMP_SW_ESTUARY_20230607_0710,20230609,4.18,0.31,NA,NA,TMP,ESTUARY,ESTUARY,NA,2023-06-07T00:00:00Z,07:10:00
TMP_SW_ESTUARY_20230607_1346,20230609,4.73,0.35,NA,NA,TMP,ESTUARY,ESTUARY,NA,2023-06-07T00:00:00Z,13:46:00
TMP_SW_SOURCE_20230607_1515,20230609,4.85,0.41,NA,NA,TMP,SW,SOURCE,NA,2023-06-07T00:00:00Z,15:15:00
TMP_SW_ESTUARY_20230606_1524,20230609,5.07,0.37,NA,NA,TMP,ESTUARY,ESTUARY,NA,2023-06-06T00:00:00Z,15:24:00
TMP_SW_ESTUARY_20230607_1700,20230609,4.48,0.36,NA,NA,TMP,ESTUARY,ESTUARY,NA,2023-06-07T00:00:00Z,17:00:00
TMP_FW_SOURCE_HR2,20220708,1.96,0.25,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value,TMP,FW,SOURCE,HR2,2022-06-22T00:00:00Z,09:30:00
TMP_SW_SOURCE_HR3,20220708,5.6,0.44,NA,blank is ≥ 25% of sample value,TMP,SW,SOURCE,HR3,2022-06-22T00:00:00Z,10:00:00
TMP_SW_SOURCE_HR5,20220708,5.92,0.43,NA,blank is ≥ 25% of sample value,TMP,SW,SOURCE,HR5,2022-06-22T00:00:00Z,12:00:00
