sample_name,rundate,doc_mg_l,tdn_mg_l,npoc_flag,tdn_flag,Event,Plot,Grid,Timepoint,date,time
TMP_FW_SOURCE_HR0,20220629,0.83,0.09,NA,blank is ≥ 25% of sample value,TMP,FW,SOURCE,HR0,2022-06-22T00:00:00Z,06:54:00
TMP_FW_SOURCE_HR5,20220629,0.75,0.07,NA,blank is ≥ 25% of sample value,TMP,FW,SOURCE,HR5,2022-06-22T00:00:00Z,12:00:00
TMP_SW_SOURCE_HR7,20220629,5.29,0.35,NA,blank is ≥ 25% of sample value,TMP,SW,SOURCE,HR7,2022-06-22T00:00:00Z,14:09:00
TMP_SW_SOURCE_HR5,20220629,5.31,0.38,NA,blank is ≥ 25% of sample value,TMP,SW,SOURCE,HR5,2022-06-22T00:00:00Z,12:00:00
TMP_FW_SOURCE_HR4,20220629,0.96,NA,NA,blank is ≥ 25% of sample value,TMP,FW,SOURCE,HR4,2022-06-22T00:00:00Z,11:00:00
TMP_ESTUARY_BARGE_HR8,20220629,0.01,0.01,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value,TMP,ESTUARY,ESTUARY,HR8,2022-06-22T00:00:00Z,15:00:00
TMP_FW_SOURCE_HR7,20220629,0.59,0.06,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value,TMP,FW,SOURCE,HR7,2022-06-22T00:00:00Z,14:48:00
TMP_FW_SOURCE_HR3,20220701,8.73,0.12,NA,blank is ≥ 25% of sample value,TMP,FW,SOURCE,HR3,2022-06-22T00:00:00Z,10:00:00
TMP_ESTUARY_BARGE_HR4,20220701,27.27,0.88,NA,NA,TMP,ESTUARY,ESTUARY,HR4,2022-06-22T00:00:00Z,11:00:00
TMP_SW_SOURCE_HR0,20220701,20.35,0.5,NA,NA,TMP,SW,SOURCE,HR0,2022-06-22T00:00:00Z,06:45:00
TMP_FW_SOURCE_HR1,20220701,9.12,0.15,NA,blank is ≥ 25% of sample value,TMP,FW,SOURCE,HR1,2022-06-22T00:00:00Z,08:00:00
TMP_SW_SOURCE_HR1,20220701,20.05,0.38,NA,NA,TMP,SW,SOURCE,HR1,2022-06-22T00:00:00Z,08:00:00
TMP_SW_SOURCE_HR2,20220701,20.55,0.4,NA,NA,TMP,SW,SOURCE,HR2,2022-06-22T00:00:00Z,09:30:00
TMP_SW_SOURCE_HR4,20220708,5.13,0.34,NA,NA,TMP,SW,SOURCE,HR4,2022-06-22T00:00:00Z,11:00:00
TMP_FW_SOURCE_HR4,20220715,0.23,0.1,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value,TMP,FW,SOURCE,HR4,2022-06-22T00:00:00Z,11:00:00
TMP_ESTUARY_BARGE_HR8,20220715,5.23,0.43,NA,NA,TMP,ESTUARY,ESTUARY,HR8,2022-06-22T00:00:00Z,15:00:00
TMP_SW_SOURCE_HR7,20220715,4.24,0.4,NA,NA,TMP,SW,SOURCE,HR7,2022-06-22T00:00:00Z,14:09:00
TMP_FW_SOURCE_20230606_1326,20230609,0.35,0.09,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value,TMP,FW,SOURCE,NA,2023-06-06T00:00:00Z,13:26:00
TMP_FW_SOURCE_20230606_1511,20230609,0.35,0.1,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value,TMP,FW,SOURCE,NA,2023-06-06T00:00:00Z,15:11:00
TMP_FW_SOURCE_20230606_0718,20230609,0.48,0.15,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value,TMP,FW,SOURCE,NA,2023-06-06T00:00:00Z,07:18:00
